application,library,device,os,user_agent_string,certificate_authority,ja4_fingerprint,ja4_fingerprint_string,ja4s_fingerprint,ja4h_fingerprint,ja4x_fingerprint,ja4t_fingerprint
,,,,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/25.0 Chrome/121.0.0.0 Mobile Safari/537.36",,t13d1516h2_8daaf6152771_02713d6af862,"t13d1516h2_002f,0035,009c,009d,1301,1302,1303,c013,c014,c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0012,0017,001b,0023,002b,002d,0033,4469,fe0d,ff01_0403,0804,0401,0503,0805,0501,0806,0601",,ge11nn18enus_01e8543fd844_000000000000_e3b0c44298fc,,
,,,,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/25.0 Chrome/121.0.0.0 Mobile Safari/537.36",,t13d1516h2_8daaf6152771_02713d6af862,"t13d1516h2_002f,0035,009c,009d,1301,1302,1303,c013,c014,c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0012,0017,001b,0023,002b,002d,0033,4469,fe0d,ff01_0403,0804,0401,0503,0805,0501,0806,0601",,ge11nn18enus_01e8543fd844_000000000000_e3b0c44298fc,,
Firefox 78.0 ,,,OS X El Capitan ,,,t13d1714h2_5b57614c22b0_d267a5f792d4,"t13d1714h2_002f,0035,009c,009d,1301,1302,1303,c009,c00a,c013,c014,c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0015,0017,001c,0023,002b,002d,0033,ff01_0403,0503,0603,0804,0805,0806,0401,0501,0601,0203,0201",,ge11nn12enus_fac804906c82_000000000000_000000000000,,
Firefox 93.0 ,,,OS X Sierra ,,,t13d1715h2_5b57614c22b0_3d5424432f57,"t13d1715h2_002f,0035,009c,009d,1301,1302,1303,c009,c00a,c013,c014,c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0015,0017,001c,0022,0023,002b,002d,0033,ff01_0403,0503,0603,0804,0805,0806,0401,0501,0601,0203,0201",,ge11nn16enus_2814923490bc_000000000000_000000000000,,
,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",,t13d1517h2_8daaf6152771_e903c750b005,"t13d1517h2_002f,0035,009c,009d,1301,1302,1303,c013,c014,c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0012,0017,001b,0023,0029,002b,002d,0033,4469,fe0d,ff01",,ge11cr20enus_60ca1bd65281_ac95b44401d9_8df6a44f726c,,
Firefox 88.0 ,,,Windows 10 ,,,t13d1714h2_5b57614c22b0_d267a5f792d4,"t13d1714h2_002f,0035,009c,009d,1301,1302,1303,c009,c00a,c013,c014,c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0015,0017,001c,0023,002b,002d,0033,ff01_0403,0503,0603,0804,0805,0806,0401,0501,0601,0203,0201",,ge11nn12enus_fac804906c82_000000000000_000000000000,,
Chrome 41.0 ,,,OS X El Capitan ,,,t12d1211ht_39b11509324c_c905abbc9856,"t12d1211ht_002f,0033,0035,0039,009c,009e,c009,c00a,c013,c014,c02b,c02f_0005,000a,000b,000d,0012,0017,0023,3374,7550_0601,0603,0501,0503,0401,0403,0301,0303,0201,0203",,ge11nn11enus_fad376c0528a_000000000000_000000000000,,
Chrome 99.0 ,,,OS X Mojave ,,,t13d1516h2_8daaf6152771_e5627efa2ab1,"t13d1516h2_002f,0035,009c,009d,1301,1302,1303,c013,c014,c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0012,0015,0017,001b,0023,002b,002d,0033,4469,ff01_0403,0804,0401,0503,0805,0501,0806,0601",,ge11nn19enus_f2808f0d04cf_000000000000_000000000000,,
Edge 91.0 ,,,OS X Ventura ,,,t13d1516h2_8daaf6152771_e5627efa2ab1,"t13d1516h2_002f,0035,009c,009d,1301,1302,1303,c013,c014,c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0012,0015,0017,001b,0023,002b,002d,0033,4469,ff01_0403,0804,0401,0503,0805,0501,0806,0601",,ge11nn18enus_010ca9f6ee2b_000000000000_000000000000,,
Firefox 68.0 ,,,Windows 7 ,,,t13d1714h2_95e1cefdbe28_d267a5f792d4,"t13d1714h2_002f,0033,0035,0039,1301,1302,1303,c009,c00a,c013,c014,c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0015,0017,001c,0023,002b,002d,0033,ff01_0403,0503,0603,0804,0805,0806,0401,0501,0601,0203,0201",,ge11nn12enus_fac804906c82_000000000000_000000000000,,
Firefox 113.0 ,,,Windows 10 ,,,t13d1715h2_5b57614c22b0_3d5424432f57,"t13d1715h2_002f,0035,009c,009d,1301,1302,1303,c009,c00a,c013,c014,c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0015,0017,001c,0022,0023,002b,002d,0033,ff01_0403,0503,0603,0804,0805,0806,0401,0501,0601,0203,0201",,ge11nn16enus_2814923490bc_000000000000_000000000000,,
Firefox 65.0 ,,,OS X Yosemite ,,,t13d1714h2_95e1cefdbe28_d267a5f792d4,"t13d1714h2_002f,0033,0035,0039,1301,1302,1303,c009,c00a,c013,c014,c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0015,0017,001c,0023,002b,002d,0033,ff01_0403,0503,0603,0804,0805,0806,0401,0501,0601,0203,0201",,ge11nn12enus_fac804906c82_000000000000_000000000000,,
Firefox 110.0 ,,,OS X Sonoma ,,,t13d1715h2_5b57614c22b0_3d5424432f57,"t13d1715h2_002f,0035,009c,009d,1301,1302,1303,c009,c00a,c013,c014,c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0015,0017,001c,0022,0023,002b,002d,0033,ff01_0403,0503,0603,0804,0805,0806,0401,0501,0601,0203,0201",,ge11nn16enus_2814923490bc_000000000000_000000000000,,
Chrome 67.0 ,,,Windows 8 ,,,t12d1211h2_d34a8e72043a_eb7c9aabf852,"t12d1211h2_002f,0035,009c,009d,c013,c014,c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0012,0017,0023,7550,ff01_0403,0804,0401,0503,0805,0501,0806,0601,0201",,ge11nn12enus_ad882a605d93_000000000000_000000000000,,
Chrome 47.0 ,,,OS X El Capitan ,,,t12d1212ht_39b11509324c_c9eaec7dbab4,"t12d1212ht_002f,0033,0035,0039,009c,009e,c009,c00a,c013,c014,c02b,c02f_0005,000a,000b,000d,0012,0017,0023,3374,7550,ff01_0601,0603,0501,0503,0401,0403,0301,0303,0201,0203",,ge11nn12enus_febd996c6b68_000000000000_000000000000,,
Chrome 42.0 ,,,Windows 11 ,,,t12d1211ht_39b11509324c_c905abbc9856,"t12d1211ht_002f,0033,0035,0039,009c,009e,c009,c00a,c013,c014,c02b,c02f_0005,000a,000b,000d,0012,0017,0023,3374,7550_0601,0603,0501,0503,0401,0403,0301,0303,0201,0203",,ge11nn11enus_fad376c0528a_000000000000_000000000000,,
,,,,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/25.0 Chrome/121.0.0.0 Mobile Safari/537.36",,t13d1516h2_8daaf6152771_02713d6af862,"t13d1516h2_002f,0035,009c,009d,1301,1302,1303,c013,c014,c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0012,0017,001b,0023,002b,002d,0033,4469,fe0d,ff01_0403,0804,0401,0503,0805,0501,0806,0601",,ge11cn18enus_01e8543fd844_9a10d4221160_8ff7c3755031,,
Firefox 98.0 ,,,Windows 8 ,,,t13d1715h2_5b57614c22b0_3d5424432f57,"t13d1715h2_002f,0035,009c,009d,1301,1302,1303,c009,c00a,c013,c014,c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0015,0017,001c,0022,0023,002b,002d,0033,ff01_0403,0503,0603,0804,0805,0806,0401,0501,0601,0203,0201",,ge11nn16enus_2814923490bc_000000000000_000000000000,,
Firefox 72.0 ,,,Windows 7 ,,,t13d1714h2_95e1cefdbe28_d267a5f792d4,"t13d1714h2_002f,0033,0035,0039,1301,1302,1303,c009,c00a,c013,c014,c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0015,0017,001c,0023,002b,002d,0033,ff01_0403,0503,0603,0804,0805,0806,0401,0501,0601,0203,0201",,ge11nn12enus_fac804906c82_000000000000_000000000000,,
Edge 89.0 ,,,OS X High Sierra ,,,t13d1515h2_8daaf6152771_de4a06bb82e3,"t13d1515h2_002f,0035,009c,009d,1301,1302,1303,c013,c014,c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0012,0015,0017,001b,0023,002b,002d,0033,ff01_0403,0804,0401,0503,0805,0501,0806,0601",,ge11nn16enus_87294dd8e930_000000000000_000000000000,,
Edge 97.0 ,,,Windows 8 ,,,t13d1516h2_8daaf6152771_e5627efa2ab1,"t13d1516h2_002f,0035,009c,009d,1301,1302,1303,c013,c014,c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0012,0015,0017,001b,0023,002b,002d,0033,4469,ff01_0403,0804,0401,0503,0805,0501,0806,0601",,ge11nn19enus_f2808f0d04cf_000000000000_000000000000,,
Firefox 86.0 ,,,Windows 11 ,,,t13d1714h2_5b57614c22b0_d267a5f792d4,"t13d1714h2_002f,0035,009c,009d,1301,1302,1303,c009,c00a,c013,c014,c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0015,0017,001c,0023,002b,002d,0033,ff01_0403,0503,0603,0804,0805,0806,0401,0501,0601,0203,0201",,ge11nn12enus_fac804906c82_000000000000_000000000000,,
Chrome 75.0 ,,,OS X Big Sur ,,,t13d1515h2_8daaf6152771_45f260be83e2,"t13d1515h2_002f,0035,009c,009d,1301,1302,1303,c013,c014,c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0012,0015,0017,001b,0023,002b,002d,0033,ff01_0403,0804,0401,0503,0805,0501,0806,0601,0201",,ge11nn12enus_ad882a605d93_000000000000_000000000000,,
Chrome ,,Samsung Galaxy M32,android 11 .0,,,t13d1516h2_8daaf6152771_02713d6af862,"t13d1516h2_002f,0035,009c,009d,1301,1302,1303,c013,c014,c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0012,0017,001b,0023,002b,002d,0033,4469,fe0d,ff01_0403,0804,0401,0503,0805,0501,0806,0601",,ge11nn19engb_f2808f0d04cf_000000000000_000000000000,,
Firefox 75.0 ,,,OS X Monterey ,,,t13d1714h2_95e1cefdbe28_d267a5f792d4,"t13d1714h2_002f,0033,0035,0039,1301,1302,1303,c009,c00a,c013,c014,c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0015,0017,001c,0023,002b,002d,0033,ff01_0403,0503,0603,0804,0805,0806,0401,0501,0601,0203,0201",,ge11nn12enus_fac804906c82_000000000000_000000000000,,
Firefox 82.0 ,,,OS X Catalina ,,,t13d1714h2_5b57614c22b0_d267a5f792d4,"t13d1714h2_002f,0035,009c,009d,1301,1302,1303,c009,c00a,c013,c014,c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0015,0017,001c,0023,002b,002d,0033,ff01_0403,0503,0603,0804,0805,0806,0401,0501,0601,0203,0201",,ge11nn12enus_fac804906c82_000000000000_000000000000,,
Chrome 70.0 ,,,OS X El Capitan ,,,t12d1212h2_d34a8e72043a_b00751acaffa,"t12d1212h2_002f,0035,009c,009d,c013,c014,c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0012,0017,001b,0023,7550,ff01_0403,0804,0401,0503,0805,0501,0806,0601,0201",,ge11nn12enus_ad882a605d93_000000000000_000000000000,,
Firefox 82.0 ,,,OS X High Sierra ,,,t13d1714h2_5b57614c22b0_d267a5f792d4,"t13d1714h2_002f,0035,009c,009d,1301,1302,1303,c009,c00a,c013,c014,c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0015,0017,001c,0023,002b,002d,0033,ff01_0403,0503,0603,0804,0805,0806,0401,0501,0601,0203,0201",,ge11nn12enus_fac804906c82_000000000000_000000000000,,
,,,,http.rb/5.1.1 (Mastodon/4.2.9; +https://23.illuminati.org/) Bot,,t13d301200_1d37bd780c83_d339722ba4af,"t13d301200_002f,0033,0035,0039,003c,003d,0067,006b,009c,009d,009e,009f,1301,1302,1303,c009,c00a,c013,c014,c023,c024,c027,c028,c02b,c02c,c02f,c030,cca8,cca9,ccaa_000a,000b,000d,0015,0016,0017,0023,002b,002d,0031,0033_0403,0503,0603,0807,0808,0809,080a,080b,0804,0805,0806,0401,0501,0601,0303,0301,0302,0402,0502,0602",,ge11nn110000_df609f2cf13b_000000000000_e3b0c44298fc,,
Chrome 115.0 ,,,Windows 11 ,,,t13d1516h2_8daaf6152771_e5627efa2ab1,"t13d1516h2_002f,0035,009c,009d,1301,1302,1303,c013,c014,c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0012,0015,0017,001b,0023,002b,002d,0033,4469,ff01_0403,0804,0401,0503,0805,0501,0806,0601",,ge11nn19enus_f2808f0d04cf_000000000000_000000000000,,
Chrome 49.0 ,,,OS X Lion ,,,t12d1112h2_c45550529adf_c9eaec7dbab4,"t12d1112h2_002f,0035,009c,c009,c00a,c013,c014,c02b,c02f,cca8,cca9_0005,000a,000b,000d,0012,0017,0023,3374,7550,ff01_0601,0603,0501,0503,0401,0403,0301,0303,0201,0203",,ge11nn12enus_febd996c6b68_000000000000_000000000000,,
Chrome 40.0 ,,,OS X Mountain Lion ,,,t12d1211ht_39b11509324c_c905abbc9856,"t12d1211ht_002f,0033,0035,0039,009c,009e,c009,c00a,c013,c014,c02b,c02f_0005,000a,000b,000d,0012,0017,0023,3374,7550_0601,0603,0501,0503,0401,0403,0301,0303,0201,0203",,ge11nn11enus_fad376c0528a_000000000000_000000000000,,
Firefox 74.0 ,,,OS X Sonoma ,,,t13d1714h2_95e1cefdbe28_d267a5f792d4,"t13d1714h2_002f,0033,0035,0039,1301,1302,1303,c009,c00a,c013,c014,c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0015,0017,001c,0023,002b,002d,0033,ff01_0403,0503,0603,0804,0805,0806,0401,0501,0601,0203,0201",,ge11nn12enus_fac804906c82_000000000000_000000000000,,
Chrome 91.0 ,,,OS X Catalina ,,,t13d1516h2_8daaf6152771_e5627efa2ab1,"t13d1516h2_002f,0035,009c,009d,1301,1302,1303,c013,c014,c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0012,0015,0017,001b,0023,002b,002d,0033,4469,ff01_0403,0804,0401,0503,0805,0501,0806,0601",,ge11nn18enus_010ca9f6ee2b_000000000000_000000000000,,
Chrome 71.0 ,,,OS X Ventura ,,,t12d1211h2_d34a8e72043a_77989cba1f4a,"t12d1211h2_002f,0035,009c,009d,c013,c014,c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0012,0017,001b,0023,ff01_0403,0804,0401,0503,0805,0501,0806,0601,0201",,ge11nn12enus_ad882a605d93_000000000000_000000000000,,
Chrome 89.0 ,,,OS X Sonoma ,,,t13d1515h2_8daaf6152771_de4a06bb82e3,"t13d1515h2_002f,0035,009c,009d,1301,1302,1303,c013,c014,c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0012,0015,0017,001b,0023,002b,002d,0033,ff01_0403,0804,0401,0503,0805,0501,0806,0601",,ge11nn16enus_87294dd8e930_000000000000_000000000000,,
Firefox 62.0 ,,,OS X Sierra ,,,t12d1314h2_07be0c029dc8_d267a5f792d4,"t12d1314h2_002f,0035,1301,1302,1303,c013,c014,c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0015,0017,001c,0023,002b,002d,0033,ff01_0403,0503,0603,0804,0805,0806,0401,0501,0601,0203,0201",,ge11nn12enus_fac804906c82_000000000000_000000000000,,
Firefox 84.0 ,,,OS X Sierra ,,,t13d1714h2_5b57614c22b0_d267a5f792d4,"t13d1714h2_002f,0035,009c,009d,1301,1302,1303,c009,c00a,c013,c014,c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0015,0017,001c,0023,002b,002d,0033,ff01_0403,0503,0603,0804,0805,0806,0401,0501,0601,0203,0201",,ge11nn12enus_fac804906c82_000000000000_000000000000,,
Edge 113.0 ,,,OS X Mojave ,,,t13d1616h2_e72c3b3287f1_e5627efa2ab1,"t13d1616h2_002f,0035,009c,009d,1301,1302,1302,1303,c013,c014,c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0012,0015,0017,001b,0023,002b,002d,0033,4469,ff01_0403,0804,0401,0503,0805,0501,0806,0601",,ge11nn19enus_f2808f0d04cf_000000000000_000000000000,,
,,,,http.rb/5.2.0 (Mastodon/4.3.0-alpha.4+glitch; +https://mstdn.thms.uk/) Bot,,t13d301200_1d37bd780c83_d339722ba4af,"t13d301200_002f,0033,0035,0039,003c,003d,0067,006b,009c,009d,009e,009f,1301,1302,1303,c009,c00a,c013,c014,c023,c024,c027,c028,c02b,c02c,c02f,c030,cca8,cca9,ccaa_000a,000b,000d,0015,0016,0017,0023,002b,002d,0031,0033_0403,0503,0603,0807,0808,0809,080a,080b,0804,0805,0806,0401,0501,0601,0303,0301,0302,0402,0502,0602",,ge11nn110000_df609f2cf13b_000000000000_e3b0c44298fc,,
Chrome ,,Samsung Galaxy S20 Ultra,android 10 .0,,,t13d1516h2_8daaf6152771_02713d6af862,"t13d1516h2_002f,0035,009c,009d,1301,1302,1303,c013,c014,c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0012,0017,001b,0023,002b,002d,0033,4469,fe0d,ff01_0403,0804,0401,0503,0805,0501,0806,0601",,ge11nn19enus_f2808f0d04cf_000000000000_000000000000,,
Edge 81.0 ,,,OS X High Sierra ,,,t13d1515h2_8daaf6152771_45f260be83e2,"t13d1515h2_002f,0035,009c,009d,1301,1302,1303,c013,c014,c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0012,0015,0017,001b,0023,002b,002d,0033,ff01_0403,0804,0401,0503,0805,0501,0806,0601,0201",,ge11nn16enus_87294dd8e930_000000000000_000000000000,,
Chrome 93.0 ,,,OS X Ventura ,,,t13d1516h2_8daaf6152771_e5627efa2ab1,"t13d1516h2_002f,0035,009c,009d,1301,1302,1303,c013,c014,c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0012,0015,0017,001b,0023,002b,002d,0033,4469,ff01_0403,0804,0401,0503,0805,0501,0806,0601",,ge11nn19enus_f2808f0d04cf_000000000000_000000000000,,
Chrome 106.0 ,,,OS X Ventura ,,,t13d1516h2_8daaf6152771_e5627efa2ab1,"t13d1516h2_002f,0035,009c,009d,1301,1302,1303,c013,c014,c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0012,0015,0017,001b,0023,002b,002d,0033,4469,ff01_0403,0804,0401,0503,0805,0501,0806,0601",,ge11nn19enus_f2808f0d04cf_000000000000_000000000000,,
Chrome 39.0 ,,,OS X Snow Leopard ,,,t12d1210ht_39b11509324c_ab57fa081356,"t12d1210ht_002f,0033,0035,0039,009c,009e,c009,c00a,c013,c014,c02b,c02f_0005,000a,000b,000d,0012,0023,3374,7550_0601,0603,0501,0503,0401,0403,0301,0303,0201,0203",,ge11nn11enus_fad376c0528a_000000000000_000000000000,,
Firefox 74.0 ,,,Windows 11 ,,,t13d1714h2_95e1cefdbe28_d267a5f792d4,"t13d1714h2_002f,0033,0035,0039,1301,1302,1303,c009,c00a,c013,c014,c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0015,0017,001c,0023,002b,002d,0033,ff01_0403,0503,0603,0804,0805,0806,0401,0501,0601,0203,0201",,ge11nn12enus_fac804906c82_000000000000_000000000000,,
Chrome 37.0 ,,,OS X Yosemite ,,,t12d1311sp_a571d07754c8_06a4338d0495,"t12d1311sp_002f,0032,0033,0035,0039,009c,009e,c009,c00a,c013,c014,c02b,c02f_0005,000a,000b,000d,0012,0023,3374,7550,ff01_0401,0501,0201,0403,0503,0203,0402,0202",,ge11nn11enus_fad376c0528a_000000000000_000000000000,,
Chrome 67.0 ,,,Windows 11 ,,,t12d1211h2_d34a8e72043a_eb7c9aabf852,"t12d1211h2_002f,0035,009c,009d,c013,c014,c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0012,0017,0023,7550,ff01_0403,0804,0401,0503,0805,0501,0806,0601,0201",,ge11nn12enus_ad882a605d93_000000000000_000000000000,,
Edge 91.0 ,,,OS X Monterey ,,,t13d1516h2_8daaf6152771_e5627efa2ab1,"t13d1516h2_002f,0035,009c,009d,1301,1302,1303,c013,c014,c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0012,0015,0017,001b,0023,002b,002d,0033,4469,ff01_0403,0804,0401,0503,0805,0501,0806,0601",,ge11nn18enus_010ca9f6ee2b_000000000000_000000000000,,
Firefox 111.0 ,,,OS X Ventura ,,,t13d1715h2_5b57614c22b0_3d5424432f57,"t13d1715h2_002f,0035,009c,009d,1301,1302,1303,c009,c00a,c013,c014,c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0015,0017,001c,0022,0023,002b,002d,0033,ff01_0403,0503,0603,0804,0805,0806,0401,0501,0601,0203,0201",,ge11nn16enus_2814923490bc_000000000000_000000000000,,
Edge 88.0 ,,,Windows 10 ,,,t13d1515h2_8daaf6152771_de4a06bb82e3,"t13d1515h2_002f,0035,009c,009d,1301,1302,1303,c013,c014,c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0012,0015,0017,001b,0023,002b,002d,0033,ff01_0403,0804,0401,0503,0805,0501,0806,0601",,ge11nn16enus_87294dd8e930_000000000000_000000000000,,
Chrome 56.0 ,,,Windows 8 ,,,t12d1211h2_d34a8e72043a_eb7c9aabf852,"t12d1211h2_002f,0035,009c,009d,c013,c014,c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0012,0017,0023,7550,ff01_0403,0804,0401,0503,0805,0501,0806,0601,0201",,ge11nn12enus_ad882a605d93_000000000000_000000000000,,
Chrome 60.0 ,,,Windows 11 ,,,t12d1211h2_d34a8e72043a_eb7c9aabf852,"t12d1211h2_002f,0035,009c,009d,c013,c014,c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0012,0017,0023,7550,ff01_0403,0804,0401,0503,0805,0501,0806,0601,0201",,ge11nn12enus_ad882a605d93_000000000000_000000000000,,
,,,,http.rb/5.1.1 (Mastodon/4.2.8; +https://social.gerry.berlin/) Bot,,t13d301200_1d37bd780c83_d339722ba4af,"t13d301200_002f,0033,0035,0039,003c,003d,0067,006b,009c,009d,009e,009f,1301,1302,1303,c009,c00a,c013,c014,c023,c024,c027,c028,c02b,c02c,c02f,c030,cca8,cca9,ccaa_000a,000b,000d,0015,0016,0017,0023,002b,002d,0031,0033_0403,0503,0603,0807,0808,0809,080a,080b,0804,0805,0806,0401,0501,0601,0303,0301,0302,0402,0502,0602",,ge11nn110000_df609f2cf13b_000000000000_e3b0c44298fc,,
Chrome 43.0 ,,,Windows 7 ,,,t12d1211ht_39b11509324c_c905abbc9856,"t12d1211ht_002f,0033,0035,0039,009c,009e,c009,c00a,c013,c014,c02b,c02f_0005,000a,000b,000d,0012,0017,0023,3374,7550_0601,0603,0501,0503,0401,0403,0301,0303,0201,0203",,ge11nn11enus_fad376c0528a_000000000000_000000000000,,
Firefox 100.0 ,,,OS X Catalina ,,,t13d1715h2_5b57614c22b0_3d5424432f57,"t13d1715h2_002f,0035,009c,009d,1301,1302,1303,c009,c00a,c013,c014,c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0015,0017,001c,0022,0023,002b,002d,0033,ff01_0403,0503,0603,0804,0805,0806,0401,0501,0601,0203,0201",,ge11nn16enus_2814923490bc_000000000000_000000000000,,
Firefox 63.0 ,,,Windows 8 .1,,,t13d1714h2_95e1cefdbe28_d267a5f792d4,"t13d1714h2_002f,0033,0035,0039,1301,1302,1303,c009,c00a,c013,c014,c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0015,0017,001c,0023,002b,002d,0033,ff01_0403,0503,0603,0804,0805,0806,0401,0501,0601,0203,0201",,ge11nn12enus_fac804906c82_000000000000_000000000000,,
Firefox 103.0 ,,,Windows 11 ,,,t13d1715h2_5b57614c22b0_5c2c66f702b0,"t13d1715h2_002f,0035,009c,009d,1301,1302,1303,c009,c00a,c013,c014,c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0017,001c,0022,0023,002b,002d,0033,fe0d,ff01_0403,0503,0603,0804,0805,0806,0401,0501,0601,0203,0201",,ge11nn16enus_2814923490bc_000000000000_000000000000,,
Chrome 76.0 ,,,OS X Monterey ,,,t13d1515h2_8daaf6152771_45f260be83e2,"t13d1515h2_002f,0035,009c,009d,1301,1302,1303,c013,c014,c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0012,0015,0017,001b,0023,002b,002d,0033,ff01_0403,0804,0401,0503,0805,0501,0806,0601,0201",,ge11nn15enus_4eabb3b8bf96_000000000000_000000000000,,
Chrome 33.0 ,,,OS X Snow Leopard ,,,t12d1312sp_a571d07754c8_ed5eb0a3fdc3,"t12d1312sp_002f,0032,0033,0035,0039,009c,009e,c009,c00a,c013,c014,c02b,c02f_0005,000a,000b,000d,0012,0023,3374,7550,8b47,ff01_0401,0501,0201,0403,0503,0203,0402,0202",,ge11nn11enus_fad376c0528a_000000000000_000000000000,,
Chrome 101.0 ,,,OS X Big Sur ,,,t13d1516h2_8daaf6152771_e5627efa2ab1,"t13d1516h2_002f,0035,009c,009d,1301,1302,1303,c013,c014,c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0012,0015,0017,001b,0023,002b,002d,0033,4469,ff01_0403,0804,0401,0503,0805,0501,0806,0601",,ge11nn19enus_f2808f0d04cf_000000000000_000000000000,,
Edge 85.0 ,,,Windows 11 ,,,t13d1515h2_8daaf6152771_de4a06bb82e3,"t13d1515h2_002f,0035,009c,009d,1301,1302,1303,c013,c014,c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0012,0015,0017,001b,0023,002b,002d,0033,ff01_0403,0804,0401,0503,0805,0501,0806,0601",,ge11nn16enus_87294dd8e930_000000000000_000000000000,,
Edge 84.0 ,,,Windows 8 ,,,t13d1515h2_8daaf6152771_de4a06bb82e3,"t13d1515h2_002f,0035,009c,009d,1301,1302,1303,c013,c014,c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0012,0015,0017,001b,0023,002b,002d,0033,ff01_0403,0804,0401,0503,0805,0501,0806,0601",,ge11nn16enus_87294dd8e930_000000000000_000000000000,,
Firefox 89.0 ,,,OS X Monterey ,,,t13d1715h2_5b57614c22b0_3d5424432f57,"t13d1715h2_002f,0035,009c,009d,1301,1302,1303,c009,c00a,c013,c014,c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0015,0017,001c,0022,0023,002b,002d,0033,ff01_0403,0503,0603,0804,0805,0806,0401,0501,0601,0203,0201",,ge11nn12enus_fac804906c82_000000000000_000000000000,,
Firefox 108.0 ,,,OS X Catalina ,,,t13d1715h2_5b57614c22b0_3d5424432f57,"t13d1715h2_002f,0035,009c,009d,1301,1302,1303,c009,c00a,c013,c014,c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0015,0017,001c,0022,0023,002b,002d,0033,ff01_0403,0503,0603,0804,0805,0806,0401,0501,0601,0203,0201",,ge11nn16enus_2814923490bc_000000000000_000000000000,,
